Location,House_Type,Contractor,Address,Bedrooms,Bathrooms,Toilets,Parking_Space,Price
Abuja,Detached duplex,Quincy Royal Properties,"Katampe Extension, Katampe, Abuja",7,8,8,15,900000000
Abuja,Terraced duplex,Arinze Onovo Consulting,"Off Mallam Nasir El Rufai Way, Guzape District, Abuja",4,6,5,20,150000000
Abuja,Terraced duplex,Bluehedge Realtors,"Cosgrove Smart Estate, Wuye, Abuja",4,5,6,3,155000000
Abuja,Semi duplex,Bluehedge Realtors,"Naf Valley Estate, Asokoro District, Abuja",6,8,10,12,260000000
Abuja,Semi duplex,Terkuma Zasha,"Wumba, Abuja",5,6,6,3,30000000
Abuja,Semi duplex,Terkuma Zasha,"Karmo, Abuja",4,4,5,4,51000000
Abuja,Detached duplex,Terkuma Zasha,"Kingspark Estate, Kukwaba, Abuja",5,5,6,4,57000000
Abuja,Detached duplex,Terkuma Zasha,"Streamwood Estate, Galadimawa, Abuja",5,5,6,5,55000000
Abuja,Flat,Terkuma Zasha,"Enl Estate, Guzape District, Abuja",3,3,4,3,58000000
Abuja,Flat,Terkuma Zasha,"Micuckville Estate, Life Camp, Abuja",3,3,4,2,27000000
Abuja,Terraced duplex,Terkuma Zasha,"Hall 7 Estate, Karsana South, Karsana, Abuja",4,4,4,3,43000000
Abuja,Terraced duplex,Foster 360,"Opposite Suncity Estate, Galadimawa, Abuja",3,3,4,2,50000000
Abuja,Terraced duplex,Nikee Properties,"Jabi, Abuja",4,5,,,175000000
Abuja,Terraced duplex,Innerworkings,"Kubwa, Abuja",2,2,3,2,60000000
Abuja,Detached duplex,Abode Landmark Network,"Apo, Abuja",5,5,6,,260000000
Abuja,Flat,Jes Unique,"Riverpark Estate, Lugbe District, Abuja",,,,,300000000
Abuja,Detached duplex,Lexxon Nigeria,"Asokoro District, Abuja",6,7,,,1200000000
Abuja,Detached duplex,Damvin Resources,"Nha Estate, Guzape District, Abuja",4,5,,,150000000
Abuja,Flat,Damvin Resources,"Guzape District, Abuja",4,4,5,,150000000
Abuja,Flat,Damvin Resources,"Utako, Abuja",1723,,,,420000000
Abuja,Terraced duplex,Nebby Homes,"Gwarinpa, Abuja",4,4,5,4,75000000
Abuja,Flat,Oma's Delight Realty,"By Coza, Guzape District, Abuja",6,6,7,10,235000000
Abuja,Flat,Oma's Delight Realty,"Sahara, Lokogoma District, Abuja",5,5,6,10,40000000
Abuja,Detached duplex,Oma's Delight Realty,"Guzape District, Abuja",6,6,7,16,900000000
Abuja,Bungalow,Oma's Delight Realty,"Jubiliation Estate, Lokogoma District, Abuja",4,4,5,12,43000000
Abuja,Flat,Bridan Global Integrated,"By Gilmore, Jahi, Abuja",2,2,3,,75000000
Abuja,Terraced duplex,Bridan Global Integrated,"Life Camp, Abuja",3,3,4,,78000000
Abuja,Semi duplex,Bridan Global Integrated,"By Spar, Life Camp, Abuja",4,4,5,,255000000
Abuja,Semi duplex,Bridan Global Integrated,"By Spar, Life Camp, Abuja",5,5,6,,285000000
Abuja,Flat,Bridan Global Integrated,"Mabushi, Abuja",2,2,3,,35000000
Abuja,Terraced duplex,Bridan Global Integrated,"Mabushi, Abuja",4,4,5,,128000000
Abuja,Terraced duplex,Bridan Global Integrated,"By Zeus Paradise, Mabushi, Abuja",4,4,5,,115000000
Abuja,Semi duplex,Bridan Global Integrated,"By Godab, Life Camp, Abuja",4,4,5,,78000000
Abuja,Terraced duplex,Soltech Limited,"Jahi, Abuja",4,4,5,3,125000000
Abuja,Terraced duplex,El'seso Homes & Shealter,"Road 112, Dape, Abuja",4,4,5,3,70000000
Abuja,Terraced duplex,El'seso Homes & Shealter,"Road 112, Life Camp, Abuja",3,4,4,4,80000000
Abuja,Flat,Jes Unique,"Riverpark Estate, Lugbe District, Abuja",,,,,300000000
Abuja,Terraced duplex,El'seso Homes & Shealter,"Road 112, Mabushi, Abuja",4,4,5,3,150000000
Abuja,Detached duplex,El'seso Homes & Shealter,"Gilmore, Jahi, Abuja",5,5,6,5,300000000
Abuja,Terraced duplex,El'seso Homes & Shealter,"Road112, Karmo, Abuja",4,4,5,4,75000000
Abuja,Semi duplex,El'seso Homes & Shealter,"Bellavue Estates, Life Camp, Abuja",5,6,6,4,270000000
Abuja,Terraced duplex,Ap Global Homes & Investments,"Jahi, Abuja",4,5,5,4,130000000
Abuja,Terraced duplex,Terkuma Zasha,"Berger Clinic, Life Camp, Abuja",5,6,6,3,45000000
Abuja,Detached duplex,Ecogrove Realty,"Guzape District, Abuja",10,14,14,10,3200000000
Abuja,Terraced duplex,Quid And Stones Ltd,"Wuye, Abuja",4,4,5,2,100000000
Abuja,Bungalow,Kabiru Jatto,"In An Estate, Gwarinpa, Abuja",3,3,4,6,110000000
Abuja,Terraced duplex,Terkuma Zasha,"Mabushi, Abuja",4,4,5,3,100000000
Abuja,Terraced duplex,Terkuma Zasha,"Opposite Paradise Estate, Katampe (Main), Katampe, Abuja",4,5,5,3,75000000
Abuja,Terraced duplex,Terkuma Zasha,"Wuye, Abuja",5,5,6,4,105000000
Abuja,Terraced duplex,Terkuma Zasha,"Mitchville Estate, Lokogoma District, Abuja",3,3,4,3,43000000
Abuja,Terraced duplex,Terkuma Zasha,"Karmo, Abuja",3,3,3,2,28000000
Abuja,Terraced duplex,Terkuma Zasha,"Off Gaat School, Gudu, Abuja",3,3,4,2,50000000
Abuja,Flat,Terkuma Zasha,"Paradise Estate, Katampe (Main), Katampe, Abuja",2,2,3,2,27000000
Abuja,Detached duplex,Terkuma Zasha,"Jabi, Abuja",5,8,8,8,500000000
Abuja,Terraced duplex,Terkuma Zasha,"Gaat School, Gaduwa, Abuja",4,4,5,2,58000000
Abuja,Semi duplex,A S Abiodun And Partners,"River Park Estate, Lugbe District, Abuja",5,6,6,6,85000000
Abuja,Terraced duplex,Propstreet Facilitators,"Guzape District, Abuja",4,4,5,3,140000000
Abuja,Detached duplex,Ecogrove Realty,"Guzape District, Abuja",10,14,14,10,3200000000
Abuja,Flat,Dahksn Real Estate Developer.,"After Zartec Turkish Company, Wuye, Abuja",3,3,3,3,55000000
Abuja,Semi duplex,Byamy Homes,"Maitama District, Abuja",5,5,6,2231,750000000
Abuja,Detached duplex,Chidison Properties,"By Apo Legislative Quarters, Gudu, Abuja",4,5,5,,180000000
Abuja,Terraced duplex,Kingsmate Properties Ltd,"Post Army Service Scheme Barracks, Kurudu, Abuja",4,4,5,2,45000000
Abuja,Detached duplex,Nikee Properties,"Lake View, Jabi, Abuja",7,8,,,850000000
Abuja,Detached duplex,Nikee Properties,"Lake View, Jabi, Abuja",5,6,,,650000000
Abuja,Detached duplex,Nikee Properties,"Lakeside, Jabi, Abuja",5,6,,,350000000
Abuja,Semi duplex,Ep Construction And Consult,"Karsana, Abuja",4,,,,65000000
Abuja,Detached duplex,Ep Construction And Consult,"Sow Mini Estate, Karsana, Abuja",4,,,,79900000
Abuja,Flat,Tochez Properties,"Jahi, Abuja",2,,,,550000000
Abuja,Terraced duplex,Tochez Properties,"Guzape District, Abuja",4,,,,90000000
Abuja,Detached duplex,Emcolm Silver Properties Ltd,"Naf Estate, Asokoro District, Abuja",5,6,6,20,500000000
Abuja,Terraced duplex,Hakeemsanusi Adeshina,"Gilmore, Jahi, Abuja",5,5,1000,900,130000000
Abuja,Detached duplex,Lettyglobalrealtors,"Garki, Abuja",6,7,7,6,300000000
Abuja,Flat,Pivotal Toptrust Resources Ltd,"Karsana, Abuja",3,3,4,2,55000000
Abuja,Flat,Brimvenatius Properties Nigeria Limited,"Diplomatic Zone, Katampe, Abuja",3,3,4,4,85000000
Abuja,Detached duplex,Beacon Corporate Realty Limited,"Apo Resettlement, Apo, Abuja",6,7,7,,250000000
Abuja,Terraced duplex,Innerworkings,"Stella Marris, Life Camp, Abuja",5,5,6,3,150000000
Abuja,Terraced duplex,Innerworkings,"Naf Conference, Jahi, Abuja",4,4,5,2,95000000
Abuja,Flat,Otto H&o Limited,"By Coza, Guzape District, Abuja",6,6,7,,350000000
Abuja,Terraced duplex,Ecogrove Realty,"Wuse 2, Abuja",4,4,5,4,363027864
Abuja,Detached duplex,Loyalty Homes Limited,"Naf Valley Estate, Asokoro District, Abuja",5,5,5,,250000000
Abuja,Terraced duplex,Mirrors Exlcusive Ltd,"Life Camp, Abuja",4,4,5,2,48000000
Abuja,Semi duplex,Abode Landmark Network,"By 2/2, Kubwa, Abuja",4,4,,,30000000
Abuja,Terraced duplex,Nikok Negotiate Ltd.,"Wuse 2, Abuja",4,4,5,,400000000
Abuja,Terraced duplex,Tochukwu Agu And Associates,"Wuye, Abuja",4,,,,135000000
Abuja,Detached duplex,Lexxon Nigeria,"Directly Opposite/facing Gwarimpa, Dawaki, Abuja",5,6,800,,120000000
Abuja,Semi duplex,Xtric Global Limited,"By A A Rano Filling Station, Jahi, Abuja",4,5,5,6,200000000
Abuja,Bungalow,Xtric Global Limited,"By Emerald Flower City Estate, Lokogoma District, Abuja",3,4,4,5,33000000
Abuja,Detached duplex,Xtric Global Limited,"Uptop Estate, Kado, Abuja",5,6,6,5,150000000
Abuja,Semi duplex,Dahksn Real Estate Developer.,"Kabusa Garden Estate, Lokogoma District, Abuja",5,5,5,6,130000000
Abuja,Terraced duplex,Formula One Properties Ltd,"Wuye, Abuja",4,4,5,3,120000000
Abuja,Terraced duplex,Innerworkings,"Mabushi, Abuja",4,4,5,3,95000000
Abuja,Detached duplex,Nikee Properties,"Wuye, Abuja",7,8,,,400000000
Abuja,Detached duplex,Xtric Global Limited,"Myari Lakeside, Jabi, Abuja",5,5,6,450,350000000
Abuja,Bungalow,Leapinglead Services,"Lokogoma District, Abuja",2,2,3,3,30000000
Abuja,Detached duplex,Emcolm Silver Properties Ltd,"Naf Estate, Asokoro District, Abuja",4,5,5,20,220000000
Abuja,Flat,Propstreet Facilitators,"Mabushi, Abuja",3,3,4,3,55000000
Abuja,Semi duplex,Tochez Properties,"Ecowas Estate, Katampe Extension, Katampe, Abuja",5,,,,350000000
Abuja,Flat,Aguolu Associates,"Coza Church, Guzape District, Abuja",32,32,40,24,700000000
Abuja,Flat,Hakeemsanusi Adeshina,"By Charles Boys Fct, Gwarinpa, Abuja",4,5,5,10,125000000
Abuja,Flat,Jes Unique,"Riverpark Estate, Lugbe District, Abuja",,,,,300000000
Abuja,Semi duplex,Knight Angels Realties Ltd,"Guzape District, Abuja",5,5,6,5,160000000
Abuja,Terraced duplex,Bridan Global Integrated,"By Nizamiye Hospital, Idu Industrial, Abuja",4,4,5,,75000000
Abuja,Terraced duplex,Coldfire Creative,"By Finance Junction,, Wuye, Abuja",4,4,5,3,70000000
Abuja,Terraced duplex,The Plethora Estatelia Ltd,"Katampe (Main), Katampe, Abuja",4,5,,,70500000
Abuja,Terraced duplex,,"By Berger Clinic, Life Camp, Abuja",4,5,5,3,100000000
Abuja,Detached duplex,The Plethora Estatelia Ltd,"Gaduwa, Abuja",5,7,,,220000000
Abuja,Terraced duplex,Formula One Properties Ltd,"Apo, Abuja",4,4,5,2,68000000
Abuja,Terraced duplex,Quid And Stones Ltd,"Maitama District, Abuja",4,5,5,3,700000000
Abuja,Terraced duplex,Bachandhouses,"Jahi, Abuja",4,4,5,,130000000
Abuja,Terraced duplex,Innerworkings,"Apo Resettlement, Apo, Abuja",3,3,4,2,60000000
Abuja,Detached duplex,Universal Prosperity Titles And Services Ltd,"Guzape District, Abuja",6,6,7,,420000000
Abuja,Terraced duplex,Universal Prosperity Titles And Services Ltd,"Katampe, Abuja",4,4,5,,450000000
Abuja,Detached duplex,Universal Prosperity Titles And Services Ltd,"Gaduwa, Abuja",5,5,6,,150000000
Abuja,Detached duplex,Universal Prosperity Titles And Services Ltd,"Gwarinpa, Abuja",6,6,7,,250000000
Abuja,Detached duplex,Universal Prosperity Titles And Services Ltd,"Nma Estate, Wumba, Abuja",4,4,5,,65000000
Abuja,Flat,Hakeemsanusi Adeshina,"Gilmore District, Close To Wuse 2, Jahi, Abuja",5,6,6,1000,180000000
Abuja,Detached duplex,Rosemond Hills Limited,"Asokoro, Asokoro District, Abuja",8,9,9,10,2800000000
Abuja,Bungalow,Lettyglobalrealtors,"In An Estate Around Kaura Market, Kaura, Abuja",2,4,2,4,55000000
Abuja,Detached duplex,Tochez Properties,"Katampe Extension, Katampe, Abuja",7,,,,750000000
Abuja,Detached duplex,Tochez Properties,"Guzape District, Abuja",5,,,,650000000
Abuja,Terraced duplex,Jes Unique,"Life Camp, Abuja",4,4,5,,50000000
Abuja,Detached duplex,Hopeling-m Network Real Estate Ltd,"Asokoro District, Abuja",8,8,9,17,700000000
Abuja,Terraced duplex,Bachandhouses,"Jahi, Abuja",4,4,5,,100000000
Abuja,Detached duplex,Bachandhouses,"Life Camp, Abuja",4,4,5,4,150000000
Abuja,Detached duplex,Withosa Limited,"Very Close To Coza, Guzape District, Abuja",5,5,6,5,270000000
Abuja,Detached duplex,Rico Classified Signature Ltd,"4th Avenue, Gwarinpa, Abuja",5,5,6,10,350000000
Abuja,Detached duplex,Rico Classified Signature Ltd,"Wuye, Abuja",5,5,6,5,450000000
Abuja,Detached duplex,Rico Classified Signature Ltd,"Guzape District, Abuja",5,5,6,8,700000000
Abuja,Semi duplex,Rico Classified Signature Ltd,"Guzape District, Abuja",4,4,5,5,320000000
Abuja,Detached duplex,Rico Classified Signature Ltd,"Mabushi, Abuja",5,5,6,6,220000000
Abuja,Detached duplex,Rico Classified Signature Ltd,"Asokoro District, Abuja",8,8,9,10,2800000000
Abuja,Terraced duplex,Rico Classified Signature Ltd,"Maitama District, Abuja",4,4,5,4,350000000
Abuja,Terraced duplex,Rico Classified Signature Ltd,"Asokoro District, Abuja",4,4,5,4,190000000
Abuja,Terraced duplex,Rico Classified Signature Ltd,"Gwarinpa, Abuja",3,3,4,3,60000000
Abuja,Detached duplex,Rico Classified Signature Ltd,"Life Camp, Abuja",4,4,5,8,200000000
Abuja,Terraced duplex,Arc and g ,"Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,5,5,3,1500000000
Abuja,Detached duplex,Properties Navigators Nigeria Limited,"Saraha 1, Lokogoma District, Abuja",5,6,6,7,200000000
Abuja,Flat,Properties Navigators Nigeria Limited,"Kings Court Estate Dikabiyu, Jabi, Abuja",2,3,3,2,25000000
Abuja,Flat,Properties Navigators Nigeria Limited,"Diplomatic Zone, Guzape District, Abuja",3,4,4,3,55000000
Abuja,Flat,Properties Navigators Nigeria Limited,"Zone 1, Wuse, Abuja",4,5,5,3,75000000
Abuja,Bungalow,Properties Navigators Nigeria Limited,"Lokogoma District, Abuja",3,4,4,5,35000000
Abuja,Terraced duplex,Jes Unique,"Life Camp, Abuja",4,4,5,,50000000
Abuja,Bungalow,Properties Navigators Nigeria Limited,"Lokogoma District, Abuja",2,3,3,700,30000000
Abuja,Detached duplex,Nikok Negotiate Ltd.,"Maitama District, Abuja",8,8,10,,2400000000
Abuja,Semi duplex,Yaz Global Technology Limited,"Riverpark Estate, Lugbe District, Abuja",4,,,,85000000
Abuja,Detached duplex,Leapinglead Services,"Opposite Legislative Quarters, Gudu, Abuja",5,5,6,8,190000000
Abuja,Terraced duplex,Leapinglead Services,"By Ipent 6, Gaduwa, Abuja",4,4,5,3,50000000
Abuja,Semi duplex,Leapinglead Services,"Naf Valley Estate, Asokoro District, Abuja",4,4,5,6,120000000
Abuja,Detached duplex,Leapinglead Services,"By Jubilation Bethel Estate, Lokogoma District, Abuja",5,5,6,10,120000000
Abuja,Semi duplex,Leapinglead Services,"Promenade Estate, Lokogoma District, Abuja",3,3,4,3,52000000
Abuja,Flat,Abuja accomodation,"Katampe Extension, Katampe, Abuja",3,3,4,,75000000
Abuja,Semi duplex,Nikee Properties,"Katampe Extension, Katampe, Abuja",4,5,,,200000000
Abuja,Terraced duplex,Real North Projects,"Durumi, Abuja",4,4,5,4,90000000
Abuja,Flat,Real North Projects,"Glendale Estate, Wuye, Abuja",3,3,4,3,72000000
Abuja,Flat,Real North Projects,"Guzape District, Abuja",5,4,5,4,170000000
Abuja,Terraced duplex,Otto H&o Limited,"Jabi, Abuja",4,4,5,,960000000
Abuja,Detached duplex,Rico Classified Signature Ltd,"Maitama District, Abuja",7,7,8,8,900000000
Abuja,Detached duplex,Rico Classified Signature Ltd,"Main, Guzape District, Abuja",6,6,7,7,550000000
Abuja,Terraced duplex,Rico Classified Signature Ltd,"Wuse 2, Abuja",4,4,5,6,400000000
Abuja,Detached duplex,Rico Classified Signature Ltd,"Maitama District, Abuja",9,9,10,8,2500000000
Abuja,Detached duplex,Rico Classified Signature Ltd,"Katampe Extension, Katampe, Abuja",9,9,10,20,850000000
Abuja,Semi duplex,Rico Classified Signature Ltd,"Wuse 2, Abuja",5,5,6,4,280000000
Abuja,Terraced duplex,Jes Unique,"Life Camp, Abuja",4,4,5,,50000000
Abuja,Semi duplex,Rico Classified Signature Ltd,"Wuse 2, Abuja",4,4,5,7,250000000
Abuja,Flat,Rico Classified Signature Ltd,"By Gilmore, Jahi, Abuja",2,16,24,20,580000000
Abuja,Detached duplex,Ingens Premier,"Apo Resettlement, Apo, Abuja",5,5,6,4,69000000
Abuja,Detached duplex,Akiten Engineering Limited,"Guzape District, Abuja",5,6,7,5,1000000000
Abuja,Bungalow,Yaz Global Technology Limited,"Efab Queens Estate, Karsana, Abuja",3,,,,86000000
Abuja,Bungalow,Lettyglobalrealtors,"Lokogoma District, Abuja",3,4,4,6,55000000
Abuja,Detached duplex,Tonado Blueprint Ng Limited,"Off Aminu Saleh Crescent, Katampe Extension, Katampe, Abuja",7,8,8,,600000000
Abuja,Terraced duplex,Rowland Slaw Ltd,"News Engineering, Dawaki, Gwarinpa, Abuja",3,3,4,3,40000000
Abuja,Semi duplex,Rowland Slaw Ltd,"By News Engineering, Dawaki, Gwarinpa, Abuja",3,4,5,4,40000000
Abuja,Semi duplex,Rowland Slaw Ltd,"By Ochacho Estate, Life Camp, Abuja",5,5,6,5,70000000
Abuja,Detached duplex,Beacon Corporate Realty Limited,"Suncity Estate, Galadimawa, Abuja",4,5,5,,70000000
Abuja,Terraced duplex,,"Shafa, Wuye, Abuja",4,5,5,2,120000000
Abuja,Terraced duplex,,"By Vio, Mabushi, Abuja",4,5,5,2,115000000
Abuja,Terraced duplex,Abode Landmark Network,"Vine G, Jabi, Abuja",4,5,,,170000000
Abuja,Semi Bungalow,Abode Landmark Network,"Lokogoma District, Abuja",2,3,,,27000000
Abuja,Terraced duplex,Bridan Global Integrated,"Wuye, Abuja",3,3,4,,85000000
Abuja,Flat,Bridan Global Integrated,"Nzamiye Hospital, Idu Industrial, Abuja",3,3,4,,35000000
Abuja,Bungalow,Kolynxproperties,"Nut Axis, Directly Opposite River Park Estate, Lugbe District, Abuja",3,4,4,,40000000
Abuja,Semi duplex,Bridan Global Integrated,"Nzamiye Hospital, Idu Industrial, Abuja",4,4,5,,65000000
Abuja,Detached duplex,Arc and g ,"Off 69 Road, Before Charley Boy, Gwarinpa, Abuja",7,6,7,5,270000000
Abuja,Terraced duplex,Jes Unique,"Life Camp, Abuja",4,4,5,,50000000
Abuja,Terraced duplex,Bridan Global Integrated,"Opposite Suncity Estate, Kaura, Abuja",3,3,4,,45000000
Abuja,Flat,Deep-springs Facilities,"Asokoro District, Abuja",8,8,9,4,1400000000
Abuja,Terraced duplex,Bridan Global Integrated,"Kado, Abuja",4,4,5,,110000000
Abuja,Semi duplex,Bridan Global Integrated,"Off 69 Road, Gwarinpa, Abuja",4,4,5,,140000000
Abuja,Flat,Pivotal Toptrust Resources Ltd,"Maitama District, Abuja",5,5,6,7,750000000
Abuja,Terraced duplex,Momich International Ventures,"Apo Resettlement, Apo, Abuja",3,,,,60000000
Abuja,Semi duplex,Bridan Global Integrated,"Life Camp, Abuja",4,4,5,,58000000
Abuja,Detached duplex,Bridan Global Integrated,"Mabushi, Abuja",5,5,6,,235000000
Abuja,Terraced duplex,Swizz Homes Ltd.,"Life Camp, Abuja",3,3,4,,75000000
Abuja,Detached duplex,Bridan Global Integrated,"By Nzamiye Hospital, Idu Industrial, Abuja",5,5,6,,138000000
Abuja,Bungalow,Emma Larwani&ass.,"Gwarinpa, Abuja",3,2,4,,57000000
Abuja,Flat,Bridan Global Integrated,"By Gilmore, Jahi, Abuja",2,2,3,,580000000
Abuja,Flat,Bridan Global Integrated,"By Gilmore, Jahi, Abuja",2,2,3,,75000000
Abuja,Detached duplex,Shang Properties,"Wuse 2, Abuja",7,,,,1400000000
Abuja,Terraced duplex,Nikee Properties,"Wuye, Abuja",5,5,6,,110000000
