House Title,House Subtitle,Contractor,Address,Phone Number,Amount,Bedrooms,Bathrooms,Toilets,Parking Space,Link
Newly Built 5 Bedroom Service Semi Detached Duplex,5 bedroom detached duplex for sale,Scalozie Global Services,"Reef Court Estate By Golf Estate Off Peter Odili Road, Port Harcourt, Rivers",08030894616,"₦200,000,000",5,6,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1627739-newly-built-5-bedroom-service-semi-detached-duplex
Tastefully Finished 5 Bedroom Detached Duplex In A Gated Estate,5 bedroom detached duplex for sale,Scalozie Global Services,"New Layout Estate Off Rumuokwurusi Elimgbu Flyover, Port Harcourt, Rivers",08030894616,"₦35,000,000",5,6,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1625919-tastefully-finished-5-bedroom-detached-duplex-in-a-gated-estate
"Newly Built 4 Bedroom Duplex With Steady Light, Secured & Gated Estate",4 bedroom terraced duplex for sale,Scalozie Global Services,"Reef Court Estate, Off Peter Odili Road, Elelenwo, Port Harcourt, Rivers",08030894616,"₦85,000,000",4,4,5,4,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/elelenwo/1591376-newly-built-4-bedroom-duplex-with-steady-light-secured-gated-estate
Tastefully Finished 4 Bedroom Detached Bungalow With Bq And Gate House,4 bedroom detached bungalow for sale,Scalozie Global Services,"Off Okporo Road By Town Hall, Rumuodara, Port Harcourt, Rivers",08030894616,"₦27,000,000",4,5,5,623,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuodara/1585433-tastefully-finished-4-bedroom-detached-bungalow-with-bq-and-gate-house
Newly Built Exceptional 27 Units 5 Bedroom Semi Detached Duplexes & Bq,5 bedroom semi-detached duplex for sale,Scalozie Global Services,"Off Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08030894616,"₦5,000,000,000",5,6,6,,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/trans-amadi/1575331-newly-built-exceptional-27-units-5-bedroom-semi-detached-duplexes-bq
Newly Built 3 Number 4 Bedroom Duplex On 2 Plot,4 bedroom terraced duplex for sale,Scalozie Global Services,"Off Peter Odili Road, Port Harcourt, Rivers",08030894616,"₦65,000,000",4,5,,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1542170-newly-built-3-number-4-bedroom-duplex-on-2-plot
Tastefully Finished 4 Bedroom Detached Duplex With Gate House,4 bedroom detached duplex for sale,Scalozie Global Services,"Paradise Palm Estate Iwofe, Rumuolumeni, Port Harcourt, Rivers",08030894616,"₦75,000,000",4,5,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1518980-tastefully-finished-4-bedroom-detached-duplex-with-gate-house
Newly Built 4 Bedroom Detached Duplex With 2 Rooms Bq & Gate House,4 bedroom detached duplex for sale,Scalozie Global Services,"Off Location Junction Nta Road, Port Harcourt, Rivers",08030894616,"₦85,000,000",4,5,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1518892-newly-built-4-bedroom-detached-duplex-with-2-rooms-bq-gate-house
Executive Newly Built 4 Bedroom Detached Duplex With Bq In Secured Est,4 bedroom detached duplex for sale,Scalozie Global Services,"Peter Odili Road, Port Harcourt, Rivers",08030894616,"₦130,000,000",4,5,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1515772-executive-newly-built-4-bedroom-detached-duplex-with-bq-in-secured-est
5 Units Of 1 Bedroom Flats With Deed Of Conveyance On 1 Plot,Block of flats for sale,Scalozie Global Services,"Off Rumuodara Junction, By Culvert, Rumuduru, Port Harcourt, Rivers",08030894616,"₦20,000,000",,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuduru/1417436-5-units-of-1-bedroom-flats-with-deed-of-conveyance-on-1-plot
Portable 4 Bedroom Semi Furnished Detached Duplex With Constant Light,4 bedroom detached duplex for sale,Scalozie Global Services,"Off Peter Odili Road By Golf Estate Ukuru Road, Port Harcourt, Rivers",08030894616,"₦60,000,000",4,5,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1412712-portable-4-bedroom-semi-furnished-detached-duplex-with-constant-light
Furnished Executive 5 Bedroom Duplex With Certificate Of Occupancy,5 bedroom detached duplex for sale,Scalozie Global Services,"Reef Court Estate Off Peter Odili Road, Port Harcourt, Rivers",08030894616,"₦200,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1365022-furnished-executive-5-bedroom-duplex-with-certificate-of-occupancy
Newly Built Executive 4 Bedroom Duplex With Gatehouse & Gen House,4 bedroom detached duplex for sale,Scalozie Global Services,"Off Sars Road Rumuogholu, Port Harcourt, Rivers",08030894616,"₦40,000,000",4,5,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1361962-newly-built-executive-4-bedroom-duplex-with-gatehouse-gen-house
Tastefully Serviced & Fully Furnished 3 Bedroom Terraced Duplex,3 bedroom terraced duplex for sale,Scalozie Global Services,"Off Peter Odili Road, Port Harcourt, Rivers",08030894616,"₦70,000,000",3,4,4,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1345618-tastefully-serviced-fully-furnished-3-bedroom-terraced-duplex
12 Nos. 1 Bedroom Flat With Constant Electricity On 2+ Plots Of Land,Block of flats for sale,Scalozie Global Services,"Off Eliozu Oroigwe Road, Rumuewhara, Port Harcourt, Rivers",08030894616,"₦45,000,000",,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1276722-12-nos-1-bedroom-flat-with-constant-electricity-on-2-plots-of-land
"Executive 5 Bedroom Detached Duplex With, 2 Units Of 2 Bedroom Flat",9 bedroom detached duplex for sale,Scalozie Global Services,"Ivory Height Estate By Shell Corporative Estate Off G U Akeh Road, Eliozu, Port Harcourt, Rivers",08030894616,"₦150,000,000",9,10,10,685,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1248322-executive-5-bedroom-detached-duplex-with-2-units-of-2-bedroom-flat
Luxury 4 Bedroom Semi Detached Duplex With Bq,4 bedroom semi-detached duplex for sale,Scalozie Global Services,"Reserve Estate, Off Peter Odili Road, Port Harcourt, Rivers",08030894616,"₦90,000,000",4,5,5,325,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/1241461-luxury-4-bedroom-semi-detached-duplex-with-bq
Executive 6 Bedroom Detached Duplex With 2 Bedroom Bq,6 bedroom detached duplex for sale,Scalozie Global Services,"Hill View Cocaine Estate, Rumuogba, Port Harcourt, Rivers",08030894616,"₦150,000,000",6,7,7,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1230190-executive-6-bedroom-detached-duplex-with-2-bedroom-bq
Newly Built 4 Bedroom Duplex With Constant Electricity,4 bedroom terraced duplex for sale,Scalozie Global Services,"Peter Odili Road, Port Harcourt, Rivers",08030894616,"₦55,000,000",4,5,,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1222371-newly-built-4-bedroom-duplex-with-constant-electricity
Newly Built 4 Bedroom Detached Duplex With Constant Electricity,4 bedroom detached duplex for sale,Scalozie Global Services,"Reef Court Estate, Off Peter Odili Road, Port Harcourt, Rivers",08030894616,"₦160,000,000",4,5,465,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1222333-newly-built-4-bedroom-detached-duplex-with-constant-electricity
Executive 4 Bedroom Detached Duplex With Self-contained Bq,4 bedroom detached duplex for sale,Scalozie Global Services,"Naf Harmony Estate, Off Eliozu Airport Link Road, Port Harcourt, Rivers",08030894616,"₦200,000,000",4,5,5,600,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1176630-executive-4-bedroom-detached-duplex-with-self-contained-bq
Luxury 5 Bedroom Detached Duplex With Bq & Gatehouse,5 bedroom detached duplex for sale,Scalozie Global Services,"Mopol 19 Close, House Of Assembly Quarters, Gra, Port Harcourt, Rivers",08030894616,"₦150,000,000",5,5,6,706,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1144217-luxury-5-bedroom-detached-duplex-with-bq-gatehouse
4 Bedroom Semi Detached Duplex,4 bedroom semi-detached duplex for sale,Ph Houses,"Ada George, By Chinda, Port Harcourt, Rivers",08034712613,"₦80,000,000",4,5,5,,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/1732787-4-bedroom-semi-detached-duplex
27 Units Of Luxury 4 Bedroom Detached Duplexes,4 bedroom detached duplex for sale,Fidelity Real Estate Consulting .,"GRA Phase 2, Port Harcourt, Rivers",08138049935,"₦3,000,000,000",4,5,5,50,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/gra-phase-2/1789567-27-units-of-luxury-4-bedroom-detached-duplexes
4 Flats Income Property In A Good Location,8 bedroom block of flats for sale,Aito Properties Ltd,"Rumuewhara, Eneka, Port Harcourt, Rivers",09060587316,"₦55,000,000",8,8,12,8,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/eneka/1788658-4-flats-income-property-in-a-good-location
Magnificient And Exquisitely Finished 8 Bedroom Detached Duplex,8 bedroom detached duplex for sale,Bluehedge Realtors,"New Gra, Port Harcourt, Rivers",+2348177766119,"₦800,000,000",8,8,9,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1312954-magnificient-and-exquisitely-finished-8-bedroom-detached-duplex
Luxurious And Tastefully Furnished 4 Bedrooms Terraced Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦72,000,000",4,4,5,3,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1421258-luxurious-and-tastefully-furnished-4-bedrooms-terraced-duplex
Magnificient And Tastefully Finished Five (5) Bedrooms Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Pearls Gardens Estate, Eneka Link Road, Eliozu, Port Harcourt, Rivers",+2348177766119,"₦150,000,000",5,5,6,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1618609-magnificient-and-tastefully-finished-five-5-bedrooms-detached-duplex
Well Located And Luxuriously Furnished 4 Bedroom & 2 Bedroom Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Shell Cooperative, Port Harcourt, Rivers",+2348177766119,"₦155,000,000",4,4,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1637582-well-located-and-luxuriously-furnished-4-bedroom-2-bedroom-duplex
Compact Contemporary 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",+2348177766119,"₦90,000,000",4,4,5,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1702194-compact-contemporary-4-bedroom-detached-duplex
Luxurious And Tastefully Finished 4 Bedroom Terrace Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Golf Estate, Port Harcourt, Rivers",+2348177766119,"₦100,000,000",4,4,5,4,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1709199-luxurious-and-tastefully-finished-4-bedroom-terrace-duplex
Brand New And Tastefully Finished Five (5) Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Royal Avenue Estate, Trans Amadi, Port Harcourt, Rivers",+2348177766119,"₦220,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1712218-brand-new-and-tastefully-finished-five-5-bedroom-detached-duplex
Super Luxury Brand-new 3 Units Of Luxury 2 Bedroom Dupelx,2 bedroom terraced duplex for sale,Odinga E Property Ltd,"Flourish Gardens Estate Opposite Shell Estate Eneka Link Road, Port Harcourt, Rivers",08032662547,"₦135,000,000",2,3,3,10,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1691943-super-luxury-brand-new-3-units-of-luxury-2-bedroom-dupelx
4 Units Of Flats Income Property,Block of flats for sale,Aito Properties Ltd,"Rumuekini, Port Harcourt, Rivers",09060587316,"₦16,000,000",400,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuekini/1738074-4-units-of-flats-income-property
Standard 4 Bedroom Duplex With C Of O,4 bedroom detached duplex for sale,Aito Properties Ltd,"Agip By Chinda, Port Harcourt, Rivers",09060587316,"₦85,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1754440-standard-4-bedroom-duplex-with-c-of-o
Newly Built 2 Units Of 1 Bedroom House,2 bedroom block of flats for sale,Aito Properties Ltd,"Ozuoba, Port Harcourt, Rivers",09060587316,"₦18,000,000",2,2,2,8,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/ozuoba/1762268-newly-built-2-units-of-1-bedroom-house
Luxury 6 Bedroom Duplex In A Nice Environment,6 bedroom detached duplex for sale,Aito Properties Ltd,"Eliozu, Port Harcourt, Rivers",09060587316,"₦170,000,000",6,6,7,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1770147-luxury-6-bedroom-duplex-in-a-nice-environment
Modest Investment Property In A Good Location,Block of flats for sale,Aito Properties Ltd,"Sars Road, Port Harcourt, Rivers",09060587316,"₦27,000,000",465,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1780065-modest-investment-property-in-a-good-location
Executive 6 Bedroom Duplex With Security House,6 bedroom detached duplex for sale,Aito Properties Ltd,"Eliozu, Port Harcourt, Rivers",09060587316,"₦85,000,000",6,6,7,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1782745-executive-6-bedroom-duplex-with-security-house
Lucrative Income Property In A Well Organised Estate,Block of flats for sale,Aito Properties Ltd,"Centenary Gardens Estate, Eliozu, Port Harcourt, Rivers",09060587316,"₦85,000,000",465,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/eliozu/1783126-lucrative-income-property-in-a-well-organised-estate
Newly Built 5 Bedroom Duplex,5 bedroom house for sale,Mentom Global Services Limited,"Rukpokwu, Port Harcourt, Rivers",07034438300,"₦95,000,000",5,5,6,4,https:/for-sale/houses/rivers/port-harcourt/rukpokwu/1728338-newly-built-5-bedroom-duplex
Luxury Built 6 Bedroom Duplex,6 bedroom detached duplex for sale,Mentom Global Services Limited,"By Power Encounter Off East West Road, Rumuodara, Port Harcourt, Rivers",07034438300,"₦80,000,000",6,6,7,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuodara/1620666-luxury-built-6-bedroom-duplex
Tastefully Finished Five Bedroom Duplex,5 bedroom house for sale,Mentom Global Services Limited,"New Layout Off Rumuokwurusi Tank, Port Harcourt, Rivers",07034438300,"₦35,000,000",5,5,6,3,https:/for-sale/houses/rivers/port-harcourt/1625973-tastefully-finished-five-bedroom-duplex
Luxury 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Mentom Global Services Limited,"Off Nta Road Ozoba, Port Harcourt, Rivers",07034438300,"₦85,000,000",4,4,4,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1545040-luxury-4-bedroom-detached-duplex
Luxury 3 Bedrooms Detached Duplex,3 bedroom detached duplex for sale,Mentom Global Services Limited,"Iwofe Road, Port Harcourt, Rivers",07034438300,"₦75,000,000",3,3,4,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1518214-luxury-3-bedrooms-detached-duplex
5 Bedroom Duplex,5 bedroom detached duplex for sale,Mentom Global Services Limited,"Shell Cooperative Eliozu, Port Harcourt, Rivers",07034438300,"₦250,000,000",5,5,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1314366-5-bedroom-duplex
Luxury 5 Bedroom Duplex In A Serene Neighborhood,5 bedroom detached duplex for sale,Odinga E Property Ltd,"12 Street, Ozuoba, Port Harcourt, Rivers",08032662547,"₦50,000,000",5,6,6,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/ozuoba/1758232-luxury-5-bedroom-duplex-in-a-serene-neighborhood
Luxury 5 Bedroom Mansion With Partly Furnished,5 bedroom detached duplex for sale,Odinga E Property Ltd,"Rukpakoku Sars Road, Port Harcourt, Rivers",08032662547,"₦450,000,000",5,6,6,15,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1769529-luxury-5-bedroom-mansion-with-partly-furnished
"Executively Built 4 Bedroom All Ensuite Bungalow, Just 1 Year Old",4 bedroom detached bungalow for sale,Mandels Properties,"Rukpokwu Road, After Redeemed Church Camp, Before Shell Station, Port Harcourt, Rivers",08062881764,"₦45,000,000",4,5,5,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1700264-executively-built-4-bedroom-all-ensuite-bungalow-just-1-year-old
Brand New And Standard 3 & 2 Bedroom Flat Detached Bungalow,5 bedroom detached bungalow for sale,Bluehedge Realtors,"Eneka, Port Harcourt, Rivers",+2348177766119,"₦20,000,000",5,5,7,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/eneka/1108735-brand-new-and-standard-3-2-bedroom-flat-detached-bungalow
A Block Of Flats Consisiting Of 7 Units Of 2 Bedroom Flat & 3 Units,2 bedroom block of flats for sale,Bluehedge Realtors,"Eneka, Port Harcourt, Rivers",+2348177766119,"₦75,000,000",2,3,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/eneka/1543964-a-block-of-flats-consisiting-of-7-units-of-2-bedroom-flat-3-units
"European Standard 3 Bedroom Bungalow, With An Attached Self-contain",3 bedroom detached bungalow for sale,Alnorac,"Apu Road Rukpokwu, Port Harcourt, Rivers",+2348136454243,"₦23,000,000",3,3,4,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1779795-european-standard-3-bedroom-bungalow-with-an-attached-self-contain
Luxury 6 Bedroom Duplex With A Penthouse,6 bedroom detached duplex for sale,Odinga E Property Ltd,"Peter Odili Road, Port Harcourt, Rivers",08032662547,"₦190,000,000",6,6,7,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1736334-luxury-6-bedroom-duplex-with-a-penthouse
Palacious Spanish Standard 5 Bedroom Mansion,5 bedroom detached duplex for sale,Eduphil Properties,"Ceederwood Estate Sars Road, Rukpokwu, Port Harcourt, Rivers",08075306696,"₦500,000,000",5,6,6,12,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rukpokwu/1778704-palacious-spanish-standard-5-bedroom-mansion
Luxurious 5 Bedroom Duplex,5 bedroom detached duplex for sale,Eduphil Properties,"Agip Estate Off Ada George Iwofe, Rumueme, Port Harcourt, Rivers",08075306696,"₦200,000,000",5,6,6,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumueme/1778685-luxurious-5-bedroom-duplex
Uncompleted 8 Units Of 1 Bedroom And 2 Units Of 2 Bedroom Apartments,Block of flats for sale,Aito Properties Ltd,"Off Nta Choba Road, Ozuoba, Port Harcourt, Rivers",09060587316,"₦45,000,000",675,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/ozuoba/1652626-uncompleted-8-units-of-1-bedroom-and-2-units-of-2-bedroom-apartments
Modern 5 Bedrooms Duplex With Security House,5 bedroom detached duplex for sale,Aito Properties Ltd,"Amaechi School Road, Rumuosi, Port Harcourt, Rivers",09060587316,"₦55,000,000",5,4,6,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuosi/1776895-modern-5-bedrooms-duplex-with-security-house
Solidly Built 4 Bedroom Bungalow With Gate House,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Ada George Road, Port Harcourt, Rivers",09060587316,"₦45,000,000",4,4,5,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1772940-solidly-built-4-bedroom-bungalow-with-gate-house
Lucrative Income Property In A Serene Environment,30 bedroom block of flats for sale,Aito Properties Ltd,"Nta Road, Port Harcourt, Rivers",09060587316,"₦190,000,000",30,30,20,910,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1772072-lucrative-income-property-in-a-serene-environment
Tastefully Finished Twin 4 Bedrooms Duplex In An Exclusive Estate,4 bedroom terraced duplex for sale,Alnorac,"Shell Co-operative Estate, Eneka New Layout, Port Harcourt, Rivers",+2348136454243,"₦95,000,000",4,4,5,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1731020-tastefully-finished-twin-4-bedrooms-duplex-in-an-exclusive-estate
80% Completed Solidly Built 6 Bedrooms Duplex On 2 Plots Of Land,6 bedroom detached duplex for sale,Alnorac,"By Amaechi School, Rumuosi, Port Harcourt, Rivers",+2348136454243,"₦52,000,000",6,6,7,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuosi/1731045-80-completed-solidly-built-6-bedrooms-duplex-on-2-plots-of-land
Brand New 4 Bedrooms Terraced Duplex,4 bedroom terraced duplex for sale,Alnorac,"Reef Court Estate, Odili Road, Port Harcourt, Rivers",+2348136454243,"₦85,000,000",4,4,5,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1694244-brand-new-4-bedrooms-terraced-duplex
Brand New Well Finished 4 Units Of 4 Bedroom Duplex In An Estate,4 bedroom detached duplex for sale,Alnorac,"Golf Estate, Odili Road, Port Harcourt, Rivers",+2348136454243,"₦85,000,000",4,4,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1694229-brand-new-well-finished-4-units-of-4-bedroom-duplex-in-an-estate
4 Units Of 2 Bedroom Flat On A Tarred Road,2 bedroom block of flats for sale,Alnorac,"Sars Road, Port Harcourt, Rivers",+2348136454243,"₦52,000,000",2,2,3,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1589892-4-units-of-2-bedroom-flat-on-a-tarred-road
Luxurious And Tastefully Finished Five (5) Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Peace Avenue, Egbelu, Port Harcourt, Rivers",+2348177766119,"₦75,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1609661-luxurious-and-tastefully-finished-five-5-bedroom-detached-duplex
Well Located And Luxuriously Furnished Five (5) Bedroom Detached,5 bedroom detached duplex for sale,Bluehedge Realtors,"Shell Cooperative, Eneka Link Road, Port Harcourt, Rivers",+2348177766119,"₦160,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1654325-well-located-and-luxuriously-furnished-five-5-bedroom-detached
Exquisitely Finished And Durably Built 4 Bedrooms Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Odani Estate, Elelenwo, Port Harcourt, Rivers",+2348177766119,"₦30,000,000",4,4,5,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1658230-exquisitely-finished-and-durably-built-4-bedrooms-detached-duplex
Durable And Exotic 4 Bedroom Terrace Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Nafharmony Estate , Eliozu, Port Harcourt, Rivers",+2348177766119,"₦80,000,000",4,4,5,4,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1670751-durable-and-exotic-4-bedroom-terrace-duplex
Exquisitely Finished Four (4) Bedroom Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Ada George Road, Port Harcourt, Rivers",+2348177766119,"₦37,000,000",4,4,5,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1673446-exquisitely-finished-four-4-bedroom-bungalow
Magnificiently Built 3 Units Of 4 Bedroom Terraced Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Doxa Road, Trans Amadi, Port Harcourt, Rivers",+2348177766119,"₦180,000,000",4,4,5,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1690711-magnificiently-built-3-units-of-4-bedroom-terraced-duplex
Magnificient And Exquisitely Finished 5 Bedrooms Advance Carcass,5 bedroom detached duplex for sale,Bluehedge Realtors,"Nafharmony Estate, Eliozu, Port Harcourt, Rivers",+2348177766119,"₦185,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1683186-magnificient-and-exquisitely-finished-5-bedrooms-advance-carcass
Luxurious And Exquisitely Finished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Golf Estate , Phase 2 / Off Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦150,000,000",4,4,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1699980-luxurious-and-exquisitely-finished-4-bedroom-detached-duplex
